========== mergeSort性能测试结果 ==========

时间复杂度: O(n log n)

数据规模	平均时间(毫秒)	理论时间(毫秒)	时间差异	差异率(%)
-----------------------------------------------------------------------------
    1000	        0.39	        0.24	      0.15	   62.27%
   10000	        4.83	        3.22	      1.61	   50.15%
  100000	       40.24	       40.24	      0.00	    0.00%
  250000	       98.31	      108.60	    -10.29	   -9.47%
  500000	      236.02	      229.31	      6.71	    2.92%
  750000	      293.32	      354.59	    -61.27	  -17.28%
 1000000	      444.94	      482.85	    -37.91	   -7.85%
10000000	     4526.45	     5633.20	  -1106.76	  -19.65%
